candidate_id,tier,space,axis_pc,blind_axis_score
C0610,A,centered,2,-0.036828146002599774
C0611,A,centered,2,0.04229433673177719
C0612,A,centered,2,-0.05753570158720105
C0613,A,centered,2,0.05742358366843074
C0614,A,centered,2,-0.08205445395132571
C0615,A,centered,2,0.10224582925157209
C0616,A,centered,2,-0.07942413622276144
C0617,A,centered,2,0.0587337813051172
C0618,A,centered,2,-0.055349408472125
C0619,A,centered,2,0.11406182902834379
C0620,A,centered,2,0.018957099521226817
C0621,A,centered,2,0.0353227560101368
C0622,A,centered,2,0.11537309233488031
C0623,A,centered,2,-0.03919018723510336
C0624,A,centered,2,0.11997477956335004
C0625,A,centered,2,-0.07272308859452051
C0626,A,centered,2,0.03638262925297124
C0627,A,centered,2,0.018421032339886335
C0628,A,centered,2,-0.030299171172281772
C0629,A,centered,2,0.05398784198927372
C0630,A,centered,2,-0.06520268927791102
C0631,A,centered,2,0.0870822195553249
C0632,A,centered,2,-0.04964288796174183
C0633,A,centered,2,0.01783627196523283
C0634,A,centered,2,-0.09519961551560462
C0635,A,centered,2,0.10049220856198676
C0636,A,centered,2,-0.054763901099696824
C0637,A,centered,2,0.020327845440681756
C0638,A,centered,2,0.0289584025285967
C0639,A,centered,2,-0.030825315036283916
C0640,A,centered,2,-0.00020888700787098665
C0641,A,centered,2,0.04498584844090976
C0642,A,centered,2,-0.06731223012801228
C0643,A,centered,2,-0.01594672024238162
C0644,A,centered,2,-0.12409387236053908
C0645,A,centered,2,0.0933909032982104
C0646,A,centered,2,-0.030054500699835545
C0647,A,centered,2,0.1168871405167514
C0648,A,centered,2,-0.05485336570300072
C0649,A,centered,2,0.06103114851149663
C0650,A,centered,2,-0.07635346376036097
C0651,A,centered,2,0.04467950453291546
C0652,A,centered,2,-0.06094298817827313
C0653,A,centered,2,0.034716973932677114
C0654,A,centered,2,-0.04824333933601569
C0655,A,centered,2,0.09201644202345859
C0656,A,centered,2,-0.0835734187907992
C0657,A,centered,2,0.05341300658058332
C0658,A,centered,2,-0.06682981706939169
C0659,A,centered,2,-0.08607410349667628
C0660,A,centered,2,0.040191516242391284
C0661,A,centered,2,0.0766449399143183
C0662,A,centered,2,-0.06327585764285053
C0663,A,centered,2,0.03447369254042424
C0664,A,centered,2,0.06835290498950451
C0665,A,centered,2,-0.09859307047742435
C0666,A,centered,2,-0.0016000489371861934
C0667,A,centered,2,-0.07583112663023578
C0668,A,centered,2,0.007471448189477798
C0669,A,centered,2,-0.06486228378051286
C0670,A,centered,2,-0.055316020548009874
C0671,A,centered,2,0.08354936011084545
C0672,A,centered,2,-0.05795497710372582
C0673,A,centered,2,0.04383690185710216
C0674,A,centered,2,0.03375823565628855
C0675,A,centered,2,-0.033819413089496625
C0676,A,centered,2,0.01983803388390119
